215,EVAPLK,Evap  lake  mly,Evaporation  lake  total monthly,0.10,,,Millimeters,monthly
216,MMXPAN,Temp  pan mn max,Temperature  evap pan  monthly mean maximum daily,0.10,,,Degrees C,monthly
217,MMNPAN,Temp  pan mn min,Temperature  evap pan  monthly mean minimum daily,0.10,,,Degrees C,monthly
218,MNPAN,Temp  pan  mean,Temperature  evap pan  monthly mean,0.10,,,Degrees C,monthly
219,XMXPAN,Temp  pan mly mx,Temperature  evap pan  extreme monthly maximum,0.10,,,Degrees C,monthly
220,DMXPAN,Date of Extr Max,Date of extreme max daily temp of evap pan,1.00,,,Unitless,monthly
221,XMNPAN,Temp  pan mly mn,Temperature  evap pan  extreme monthly minimum,0.10,,,Degrees C,monthly
222,DMNPAN,Date of Extr Min,Date of extreme min daily temp of evap pan,1.00,,,Unitless,monthly
223,HDD1,HTNG Degree Day1,Heating degree days  total monthly - Base1,1.00,,,Unitless,monthly
224,HDD2,HTNG Degree Day2,Heating degree days  total monthly - Base2,1.00,,,Unitless,monthly
225,CDD1,CLNG Degree Day1,Cooling degree days  total monthly - Base1,1.00,,,Unitless,monthly
226,CDD2,CLNG Degree Day2,Cooling degree days  total monthly - Base2,1.00,,,Unitless,monthly
227,GDD1,GRNG Degree Day1,Growing degree days  total monthly - Base1,1.00,,,Unitless,monthly
228,GDD2,GRNG Degree Day2,Growing degree days  total monthly - Base2,1.00,,,Unitless,monthly
229,DYRAIN,Days with Rain,Days  number with rainfall,1.00,,,Unitless,monthly
230,DYTHND,Days with Thunde,Days  number with thunderstorms,1.00,,,Unitless,monthly
231,DYHAIL,Days with Hail,Days  number with hail,1.00,,,Unitless,monthly
232,DYFOG,Days with Fog,Days  number with fog,1.00,,,Unitless,monthly
233,DYSAND,Days with Dust,Days  number with blowing sand or dust,1.00,,,Unitless,monthly
234,DYSMOK,Days with Smoke,Days  number with smoke or thick haze,1.00,,,Unitless,monthly
235,DYSNOW,Days with Snow,Days  number with snow,1.00,,,Unitless,monthly
236,DYBSNW,Days with Blw sn,Days  number with blowing snow,1.00,,,Unitless,monthly
237,DYWND1,Days wth wind 10,Days  number with wind greater than 10 m/sec,1.00,,,Unitless,monthly
238,DYWND5,Days wth wind 15,Days  number with wind greater than 15 m/sec,1.00,,,Unitless,monthly
239,DYGLAZ,Days with glaze,Days  number with glaze(freezing rain),1.00,,,Unitless,monthly
240,DYTML1,Days temp < 1,Days  number with temp less than base 1,1.00,,,Unitless,monthly
241,DYTML2,Days temp < 2,Days  number with temp less than base 2,1.00,,,Unitless,monthly
242,DYTML3,Days temp < 3,Days  number with temp less than base 3,1.00,,,Unitless,monthly
243,DYTMG1,Days temp > 1,Days  number with temp greater than base 1,1.00,,,Unitless,monthly
244,DYTMG2,Days temp > 2,Days  number with temp greater than base 2,1.00,,,Unitless,monthly
245,DYTMG3,Days temp > 3,Days  number with temp greater than base 3,1.00,,,Unitless,monthly
246,DYPRG1,Days precip > 1,Days  number with precip greater than base 1,1.00,,,Unitless,monthly
247,DYPRG2,Days precip > 2,Days  number with precip greater than base 2,1.00,,,Unitless,monthly
248,DYPRG3,Days precip > 3,Days  number with precip greater than base 3,1.00,,,Unitless,monthly
249,MNMXDP,Temp dp mean max,Temperature  dew point  mean maximum monthly,0.10,,,Degrees C,monthly
250,MNMNDP,Temp dp mean min,Temperature  dew point  mean minimum monthly,0.10,,,Degrees C,monthly
251,MNDP,Temp dp mean mly,Temperature  dew point  mean monthly,0.10,,,Degrees C,monthly
252,EXMXDP,Temp  dp mly max,Temperature  dew point  extreme monthly maximum,0.10,,,Degrees C,monthly
253,DXMXDP,Date extr Mx DP,Date of extreme maximum monthly dewpoint,1.00,,,Unitless,monthly
254,EXMNDP,Temp  dp mly min,Temperature  dew point  extreme monthly minimum,0.10,,,Degrees C,monthly
255,DXMNDP,Date extr Mn DP,Date of extreme minimum monthly dewpoint,1.00,,,Unitless,monthly
256,MNMXRH,RH  mean max,Relative humidity  mean maximum monthly,1.00,100,0,Percent,monthly
257,MNMNRH,RH  mean min,Relative humidity  mean minimum monthly,1.00,100,0,Percent,monthly
258,MNRH,RH  mean mly,Relative humidity  mean monthly,1.00,100,0,Percent,monthly
259,EXMXRH,RH  extrm max,Relative humidity  extreme monthly maximum,1.00,100,0,Percent,monthly
260,DXMXRH,Date extr Mx RH,Date of extreme maximum monthly relative humidity,1.00,,,Unitless,monthly
261,EXMNRH,RH  extrm min,Relative humidity  extreme monthly minimum,1.00,100,0,Percent,monthly
262,DXMNRH,Date extr Mn RH,Date of extreme minimum monthly relative  humidity,1.00,,,Unitless,monthly
263,EVAPMX,Evap  max dly,Evaporation  greatest daily in the month,0.10,,,Millimeters,monthly
264,DMXEVP,Date of max evap,Date of the greatest daily evaporation in the month,1.00,,,Unitless,monthly
265,MYTORN,Days w/ tornado,Days  number with tornado,1.00,,,Unitless,monthly
266,MYICEP,Days w/ ice plt,Days with ice pellets,1.00,,,Unitless,monthly
267,MYGDRZ,Days w/ drizzle,Days with drizzle,1.00,,,Unitless,monthly
268,MLYSUN,Sunshine  Mly,Sunshine  Monthly total,0.10,,,Hours,monthly
269,MSOIL8,Temp  soil4M mly,Temperature  soil  monthly at 300 cm,0.10,,,Degrees C,monthly
270,MSOIL7,Temp  soil3M mly,Temperature  soil  monthly mean at 200 cm,0.10,,,Degrees C,monthly
271,MSOIL6,Temp  soil2M mly,Temperature  soil  monthly mean at 150 cm,0.10,,,Degrees C,monthly
272,MSOL1M,Temp  soil1m mly,Temperature  soil  monthly mean at 100 cm,0.10,,,Degrees C,monthly
273,MSOL50,Temp  soil50 mly,Temperature  soil  monthly mean at 50 cm,0.10,,,Degrees C,monthly
274,MSOL20,Temp  soil20 mly,Temperature  soil  monthly mean at 20 cm,0.10,,,Degrees C,monthly
275,MSOL10,Temp  soil10 mly,Temperature  soil  monthly mean at 10 cm,0.10,,,Degrees C,monthly
276,MSOL05,Temp  soil05 mly,Temperature  soil  monthly mean at 5 cm,0.10,,,Degrees C,monthly
281,24hVPD,24hourVPD,Mean monthly 24 hour Vapour Pressure Deficit,0.10,,,Hectopascals,monthly
286,GMnMMn,GrMin Monthly Mn,Ground Minimum monthly mean,0.10,,,Degrees C,monthly
